id,country_city,start_time,end_time,date,mean_temp_celsius,incentive_local,exchange_usd_local,incentive_usd,gender,point_value,site_id,session_n,subject_n,tr_opponet_n,ch_opponent_n,version,treatment,dc_cl_ps,dc_cl_envy,dc_c_ps,dc_c_envy,dc_cl_ps_points,dc_cl_envy_points,dc_c_ps_points,dc_c_envy_points,pr_correct,pr_wrong,pr_not_attempted,tr_correct,tr_wrong,tr_not_attempted,tr_die,tr_total,tr_guess_correct,tr_guess_die,tr_guess_total,tr_other_correct,tr_other_die,tr_other_total,tr_result,tr_points,f_happy,f_energetic,f_frustrated,f_last_meal_min,ch_correct,ch_wrong,ch_not_attempted,ch_die,ch_total,ch_tournament,ch_other_correct,ch_other_die,ch_other_total,ch_result,ch_points,ct_selected,ct_tails,ct_points,task_paid,complete,total_points,total_local_paid,total_usd_paid,final_version,comment,f_last_meal_time,start_time_h,end_time_h
001027015,mexico_chapingo,12H 12M 0S,13H 30M 0S,2022-06-22,32.2428571428571,100,20,5,Female,10,1,27,15,16,NA,A,1,1,2,2,2,16,16,16,23,8,0,4,7,1,4,1,8,5,4,9,7,3,10,0,0,8,9,1,120,8,1,3,4,12,0,7,5,2,NA,12,1,1,11,5,1,8,180,9,1,NA,2 0,12,13
001027016,mexico_chapingo,12H 12M 0S,13H 30M 0S,2022-06-22,32.2428571428571,100,20,5,Female,10,1,27,16,15,NA,A,1,1,1,2,2,16,20,16,23,6,1,5,7,3,2,3,10,8,2,10,7,1,8,2,20,9,9,0,60,6,5,1,5,11,0,7,5,2,NA,11,2,1,14.5,5,1,6,160,8,1,NA,1 0,12,13
001022001,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,1,2,3,B,1,1,2,1,2,16,20,12,23,8,2,2,8,4,0,5,13,9,6,15,8,5,13,1,13,7,6,3,240,7,5,0,2,9,1,7,2,9,1,9,6,1,30,6,1,13,165,8.25,1,NA,4 0,12,13
001022002,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,2,1,NA,B,1,1,2,2,2,16,20,20,23,7,4,1,8,3,1,5,13,7,4,11,8,5,13,1,13,7,7,4,720,8,3,1,1,9,1,8,1,9,1,9,3,1,18,6,1,13,165,8.25,1,NA,12 0,12,13
001022003,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Male,5,1,22,3,4,1,B,1,1,2,1,2,16,20,16,23,6,1,5,6,4,2,3,9,6,2,8,7,1,8,2,18,10,9,3,720,9,1,2,1,10,1,9,1,10,1,10,1,1,11,6,1,18,190,9.5,1,NA,12 0,12,13
001022004,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Male,5,1,22,4,3,NA,B,1,1,2,1,2,16,20,16,23,5,1,6,7,2,3,1,8,10,5,15,6,3,9,0,0,5,7,4,720,9,1,2,1,10,1,8,1,9,2,20,4,1,21.5,6,1,0,100,5,1,NA,12 0,12,13
001022005,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,5,6,7,B,1,1,2,1,2,16,16,12,18,5,4,3,5,5,2,5,10,8,3,11,6,4,10,1,10,8,9,4,60,5,4,3,2,7,1,5,2,7,1,7,2,1,14.5,6,1,10,150,7.5,1,NA,1 0,12,13
001022006,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Male,5,1,22,6,5,NA,B,1,1,1,2,1,16,20,20,21,8,0,4,6,2,4,4,10,7,4,11,5,5,10,1,10,8,9,3,180,6,5,1,3,9,0,8,1,9,NA,9,3,1,18,6,1,10,150,7.5,1,NA,3 0,12,13
001022007,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,7,9,5,B,1,2,1,2,1,16,20,20,21,5,0,7,6,1,5,3,9,5,4,9,5,5,10,0,0,7,10,5,120,6,1,5,5,11,1,6,5,11,1,11,3,1,18,6,1,0,100,5,1,NA,2 0,12,13
001022009,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,9,7,NA,B,1,1,2,1,2,12,16,12,18,3,0,9,5,0,7,5,10,5,4,9,6,3,9,2,20,9,9,0,720,3,0,9,6,9,0,8,1,9,NA,9,2,1,14.5,6,1,20,200,10,1,NA,12 0,12,13
001022010,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Male,5,1,22,10,11,NA,B,1,1,2,1,2,16,16,16,18,5,0,7,7,1,4,3,10,5,4,9,8,4,12,0,0,5,10,5,900,8,2,2,2,10,0,8,1,9,NA,10,6,1,30,6,1,0,100,5,1,NA,15 0,12,13
001022011,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,11,10,14,B,1,1,1,1,1,16,20,16,21,6,1,5,8,0,4,4,12,8,5,13,7,3,10,2,24,10,8,0,300,7,1,4,4,11,1,7,4,11,1,11,4,1,21.5,6,1,24,220,11,1,NA,5 0,12,13
001022013,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,13,14,NA,B,1,1,1,1,1,16,16,12,21,3,0,9,6,1,5,1,7,8,4,12,8,4,12,0,0,5,8,5,1020,3,2,7,6,9,0,8,1,9,NA,9,4,1,21.5,6,1,0,100,5,1,NA,17 0,12,13
001022014,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,14,13,11,B,1,1,1,2,2,16,16,20,18,5,3,4,8,1,3,4,12,6,3,9,6,1,7,2,24,9,9,0,120,9,1,2,3,12,1,9,3,12,1,12,5,1,26,6,1,24,220,11,1,NA,2 0,12,13
001022015,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Male,5,1,22,15,16,NA,B,1,1,2,1,2,16,20,12,23,7,0,5,6,2,4,3,9,4,2,6,7,2,9,1,9,8,7,2,720,7,4,1,2,9,0,8,1,9,NA,9,2,1,14.5,6,1,9,145,7.25,1,NA,12 0,12,13
001022016,mexico_chapingo,12H 10M 0S,13H 18M 0S,2022-06-21,31.1417910447761,100,20,5,Female,5,1,22,16,15,NA,B,1,1,2,2,2,16,20,20,23,5,1,6,7,2,3,2,9,8,4,12,6,3,9,1,9,10,9,2,720,4,2,6,3,7,0,8,1,9,NA,7,6,1,30,6,1,9,145,7.25,1,NA,12 0,12,13
001023001,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Male,5,1,23,1,2,14,B,1,1,1,1,1,16,16,12,21,5,2,5,7,3,2,2,9,8,1,9,7,1,8,2,18,9,10,0,180,8,4,0,5,13,1,8,5,13,1,13,1,1,11,1,1,1,105,5.25,1,NA,3 0,14,15
001023002,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Female,5,1,23,2,1,NA,B,1,1,1,2,2,16,16,20,18,4,0,8,7,1,4,1,8,5,3,8,7,2,9,0,0,5,7,4,30,8,1,3,6,14,0,8,6,14,NA,14,2,1,14.5,1,1,1,105,5.25,1,NA,0 30,14,15
001023003,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Male,5,1,23,3,5,6,B,1,1,2,1,2,16,16,12,23,8,0,4,7,1,4,6,13,8,3,11,5,3,8,2,26,9,8,3,180,7,3,2,5,12,1,7,5,12,1,12,2,1,14.5,1,1,1,105,5.25,1,NA,3 0,14,15
001023005,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Female,5,1,23,5,3,NA,B,1,1,1,2,2,16,20,20,23,6,1,5,5,2,5,3,8,6,4,10,7,6,13,0,0,5,4,8,20,6,2,4,4,10,0,8,6,14,NA,10,2,1,14.5,1,1,1,105,5.25,1,NA,0 20,14,15
001023006,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Male,5,1,23,6,9,3,B,1,1,2,2,2,16,20,20,23,5,0,7,6,2,4,3,9,6,2,8,9,3,12,0,0,8,8,1,30,6,5,1,5,11,1,6,5,11,1,11,3,1,18,1,1,1,105,5.25,1,NA,0 30,14,15
001023009,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Male,5,1,23,9,6,NA,B,1,1,2,1,2,16,20,12,23,7,0,5,9,3,0,3,12,7,4,11,6,3,9,2,24,8,6,0,300,7,4,1,4,11,0,8,6,14,NA,11,5,1,26,1,1,1,105,5.25,1,NA,5 0,14,15
001023010,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Female,5,1,23,10,11,NA,B,1,1,2,2,1,16,20,20,21,6,0,6,5,2,5,1,6,7,2,9,6,5,11,0,0,5,4,6,240,7,1,4,4,11,0,8,6,14,NA,11,1,1,11,1,1,1,105,5.25,1,NA,4 0,14,15
001023011,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Male,5,1,23,11,10,NA,B,1,1,2,1,2,16,20,12,18,5,0,7,6,5,1,5,11,5,5,10,5,1,6,2,22,8,8,2,120,4,3,5,3,7,0,8,6,14,NA,7,2,1,14.5,1,1,1,105,5.25,1,NA,2 0,14,15
001023013,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Male,5,1,23,13,14,NA,B,1,1,2,1,2,16,20,12,23,5,0,7,7,5,0,5,12,6,3,18,7,5,12,1,12,8,9,4,30,7,0,5,5,12,0,8,6,14,NA,12,4,1,21.5,1,1,1,105,5.25,1,NA,0 30,14,15
001023014,mexico_chapingo,14H 12M 0S,15H 18M 0S,2022-06-21,32.3,100,20,5,Female,5,1,23,14,13,1,B,1,1,2,2,2,16,20,20,23,4,2,6,7,2,3,5,12,5,2,7,7,5,12,1,12,5,8,0,40,6,6,0,4,10,1,6,4,10,1,10,3,1,18,1,1,1,105,5.25,1,NA,0 40,14,15
001026001,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,1,2,NA,B,1,1,2,1,2,16,16,12,23,5,1,6,7,0,5,4,11,12,6,18,7,3,10,2,22,5,6,2,180,5,1,6,6,11,0,5,6,11,NA,11,1,0,11,7,1,11,155,7.75,1,NA,3 0,10,11
001026002,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Female,5,1,26,2,1,5,B,1,1,1,2,2,16,20,20,23,5,2,5,7,1,4,3,10,5,4,9,7,4,11,0,0,8,7,3,90,7,3,2,2,9,1,7,2,9,1,9,2,0,9.5,7,1,9,145,7.25,1,NA,1 30,10,11
001026003,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,3,4,NA,B,1,1,2,1,2,16,20,16,23,5,1,6,8,0,4,6,14,7,5,12,7,5,12,2,28,8,8,4,90,7,0,5,2,9,0,5,6,11,NA,9,1,0,11,7,1,9,145,7.25,1,NA,1 30,10,11
001026004,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,4,3,NA,B,1,1,2,1,2,16,20,16,23,5,1,6,7,1,4,5,12,10,3,13,8,6,14,0,0,5,7,3,900,8,2,2,5,13,0,5,6,11,NA,13,1,0,11,7,1,13,165,8.25,1,NA,15 0,10,11
001026005,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Female,5,1,26,5,6,2,B,1,1,2,1,2,16,20,16,23,4,0,8,4,3,5,4,8,8,5,13,6,6,12,0,0,7,3,7,600,6,1,5,4,10,1,6,4,10,1,10,2,0,9.5,7,1,10,150,7.5,1,NA,10 0,10,11
001026006,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,6,5,NA,B,1,1,2,1,2,16,20,16,23,5,0,7,6,3,3,6,12,5,4,9,4,4,8,2,24,8,4,0,1020,6,0,6,6,12,0,5,6,11,NA,12,3,0,8,7,1,12,160,8,1,NA,17 0,10,11
001026007,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Female,5,1,26,7,9,NA,B,1,1,1,1,1,16,20,12,21,3,1,8,5,1,6,5,10,7,3,10,8,1,9,2,20,8,8,4,600,3,3,6,4,7,0,5,6,11,NA,7,1,0,11,7,1,7,135,6.75,1,NA,10 0,10,11
001026009,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Female,5,1,26,9,7,11,B,1,1,2,2,2,16,16,20,18,6,2,4,8,0,4,1,9,10,3,13,5,5,10,0,0,9,9,0,20,6,1,5,3,9,1,6,3,9,1,9,2,0,9.5,7,1,9,145,7.25,1,NA,0 20,10,11
001026010,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,10,11,NA,B,1,1,2,2,2,16,20,16,23,6,2,4,5,7,0,3,8,8,2,10,6,3,9,0,0,7,6,5,60,3,9,0,3,6,0,5,6,11,NA,6,2,0,9.5,7,1,6,130,6.5,1,NA,1 0,10,11
001026011,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,11,10,9,B,1,1,2,2,2,16,20,16,23,6,0,6,6,3,3,3,9,6,2,8,5,3,8,2,18,8,7,0,90,4,1,7,3,7,1,4,3,7,1,7,6,0,1,7,1,7,135,6.75,1,NA,1 30,10,11
001026013,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Female,5,1,26,13,14,NA,B,1,1,2,1,2,16,20,12,23,6,1,5,7,0,5,3,10,8,4,12,7,6,13,0,0,8,7,5,150,6,3,3,5,11,0,5,6,11,NA,11,2,0,9.5,7,1,11,155,7.75,1,NA,2 30,10,11
001026014,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Female,5,1,26,14,13,NA,B,1,1,2,2,2,16,20,20,23,6,0,6,7,1,4,6,13,6,5,11,7,3,10,2,26,9,8,4,840,5,2,5,6,11,0,5,6,11,NA,11,1,0,11,7,1,11,155,7.75,1,NA,14 0,10,11
001026015,mexico_chapingo,10H 10M 0S,11H 26M 0S,2022-06-22,30.4813333333333,100,20,5,Male,5,1,26,15,1,NA,B,1,1,2,1,1,16,20,16,21,4,1,7,7,0,5,5,12,6,6,12,7,4,11,2,24,8,8,2,900,7,3,2,2,9,0,5,6,11,NA,9,3,0,8,7,1,9,145,7.25,1,NA,15 0,10,11
