id,date,mean_temp_celsius,gender,pr_correct,tr_correct,ch_tournament,start_time,end_time,ch_correct
001025005,2022-06-21,26.8415384615385,Male,7,7,1,18H 11M 0S,19H 17M 0S,8
001025006,2022-06-21,26.8415384615385,Male,3,4,0,18H 11M 0S,19H 17M 0S,2
001025009,2022-06-21,26.8415384615385,Male,8,9,1,18H 11M 0S,19H 17M 0S,9
001025013,2022-06-21,26.8415384615385,Female,6,7,1,18H 11M 0S,19H 17M 0S,7
001027001,2022-06-22,32.2428571428571,Female,4,7,0,12H 12M 0S,13H 30M 0S,7
001027002,2022-06-22,32.2428571428571,Female,6,6,0,12H 12M 0S,13H 30M 0S,3
001027003,2022-06-22,32.2428571428571,Female,4,5,1,12H 12M 0S,13H 30M 0S,4
001027004,2022-06-22,32.2428571428571,Female,7,7,0,12H 12M 0S,13H 30M 0S,6
001027005,2022-06-22,32.2428571428571,Male,5,6,1,12H 12M 0S,13H 30M 0S,2
001027006,2022-06-22,32.2428571428571,Female,6,6,0,12H 12M 0S,13H 30M 0S,5
001027007,2022-06-22,32.2428571428571,Female,3,7,1,12H 12M 0S,13H 30M 0S,3
001027008,2022-06-22,32.2428571428571,Male,4,6,1,12H 12M 0S,13H 30M 0S,3
001027009,2022-06-22,32.2428571428571,Male,7,7,0,12H 12M 0S,13H 30M 0S,7
001027010,2022-06-22,32.2428571428571,Male,7,8,0,12H 12M 0S,13H 30M 0S,7
001027011,2022-06-22,32.2428571428571,Male,6,8,1,12H 12M 0S,13H 30M 0S,3
001027012,2022-06-22,32.2428571428571,Male,6,7,1,12H 12M 0S,13H 30M 0S,9
001027013,2022-06-22,32.2428571428571,Male,6,6,0,12H 12M 0S,13H 30M 0S,7
001027014,2022-06-22,32.2428571428571,Male,3,5,0,12H 12M 0S,13H 30M 0S,3
001027015,2022-06-22,32.2428571428571,Female,8,7,0,12H 12M 0S,13H 30M 0S,8
001027016,2022-06-22,32.2428571428571,Female,6,7,0,12H 12M 0S,13H 30M 0S,6
001022001,2022-06-21,31.1417910447761,Female,8,8,1,12H 10M 0S,13H 18M 0S,7
001022002,2022-06-21,31.1417910447761,Female,7,8,1,12H 10M 0S,13H 18M 0S,8
001022003,2022-06-21,31.1417910447761,Male,6,6,1,12H 10M 0S,13H 18M 0S,9
